"b'Country,Other'",b'TotalCases',b'NewCases',b'TotalDeaths',b'NewDeaths',b'TotalRecovered',b'ActiveCases',"b'Serious,Critical'",b'Tot\xc2\xa0Cases/1M pop',b'Deaths/1M pop',b'TotalTests',b'Tests/\n1M pop\n',b'Continent'
b'Libya',b'63',b'',b'3',b'',b'23',b'37',b'',b'9',b'0.4',"b'2,338'",b'340',b'Africa'
b'French Polynesia',b'58',b'',b'',b'',b'53',b'5',b'1',b'206',b'',"b'2,665'","b'9,487'",b'Australia/Oceania'
b'South Sudan',b'52',b'+6',b'',b'',b'',b'52',b'',b'5',b'',"b'1,247'",b'111',b'Africa'
b'Macao',b'45',b'',b'',b'',b'39',b'6',b'1',b'69',b'',b'',b'',b'Asia'
b'Syria',b'44',b'',b'3',b'',b'27',b'14',b'',b'3',b'0.2',b'',b'',b'Asia'
b'Malawi',b'41',b'',b'3',b'',b'9',b'29',b'1',b'2',b'0.2',b'907',b'47',b'Africa'
b'Mongolia',b'41',b'+1',b'',b'',b'13',b'28',b'',b'13',b'',"b'8,889'","b'2,711'",b'Asia'
b'Eritrea',b'39',b'',b'',b'',b'26',b'13',b'',b'11',b'',b'',b'',b'Africa'
b'Saint Martin',b'38',b'',b'3',b'',b'29',b'6',b'1',b'983',b'78',b'',b'',b'North America'
b'Angola',b'35',b'',b'2',b'',b'11',b'22',b'',b'1',b'0.06',"b'3,000'",b'91',b'Africa'
b'Zimbabwe',b'34',b'',b'4',b'',b'5',b'25',b'',b'2',b'0.3',"b'7,642'",b'514',b'Africa'
b'Antigua and Barbuda',b'25',b'',b'3',b'',b'15',b'7',b'1',b'255',b'31',b'151',"b'1,542'",b'North America'
b'Timor-Leste',b'24',b'',b'',b'',b'20',b'4',b'',b'18',b'',b'664',b'504',b'Asia'
b'Sao Tome and Principe',b'23',b'',b'3',b'',b'4',b'16',b'',b'105',b'14',b'175',b'799',b'Africa'
b'Botswana',b'23',b'',b'1',b'',b'8',b'14',b'',b'10',b'0.4',"b'8,636'","b'3,672'",b'Africa'
b'Grenada',b'21',b'',b'',b'',b'13',b'8',b'4',b'187',b'',"b'1,406'","b'12,495'",b'North America'
b'Laos',b'19',b'',b'',b'',b'9',b'10',b'',b'3',b'',"b'2,418'",b'332',b'Asia'
b'Belize',b'18',b'',b'2',b'',b'14',b'2',b'1',b'45',b'5',"b'1,043'","b'2,623'",b'North America'
b'Fiji',b'18',b'',b'',b'',b'14',b'4',b'',b'20',b'',"b'1,007'","b'1,123'",b'Australia/Oceania'
b'New Caledonia',b'18',b'',b'',b'',b'17',b'1',b'1',b'63',b'',"b'5,052'","b'17,695'",b'Australia/Oceania'
b'Saint Lucia',b'18',b'',b'',b'',b'15',b'3',b'',b'98',b'',b'446',"b'2,429'",b'North America'
b'Gambia',b'17',b'',b'1',b'',b'9',b'7',b'',b'7',b'0.4',b'401',b'166',b'Africa'
b'St. Vincent Grenadines',b'17',b'',b'',b'',b'9',b'8',b'',b'153',b'',b'137',"b'1,235'",b'North America'
b'Cura\xc3\xa7ao',b'16',b'',b'1',b'',b'13',b'2',b'',b'98',b'6',b'351',"b'2,139'",b'North America'
b'Dominica',b'16',b'',b'',b'',b'13',b'3',b'',b'222',b'',b'383',"b'5,320'",b'North America'
b'Namibia',b'16',b'',b'',b'',b'8',b'8',b'',b'6',b'',"b'1,122'",b'442',b'Africa'
b'Nicaragua',b'15',b'',b'5',b'',b'7',b'3',b'',b'2',b'0.8',b'',b'',b'North America'
b'Burundi',b'15',b'',b'1',b'',b'7',b'7',b'',b'1',b'0.08',b'284',b'24',b'Africa'
b'Saint Kitts and Nevis',b'15',b'',b'',b'',b'8',b'7',b'',b'282',b'',b'294',"b'5,526'",b'North America'
b'Falkland Islands',b'13',b'',b'',b'',b'13',b'0',b'',"b'3,736'",b'',b'388',"b'111,494'",b'South America'
b'Yemen',b'12',b'',b'2',b'',b'1',b'9',b'',b'0.4',b'0.07',b'120',b'4',b'Asia'
b'Turks and Caicos',b'12',b'',b'1',b'',b'6',b'5',b'',b'310',b'26',b'107',"b'2,764'",b'North America'
b'Montserrat',b'11',b'',b'1',b'',b'7',b'3',b'1',"b'2,204'",b'200',b'36',"b'7,212'",b'North America'
b'Greenland',b'11',b'',b'',b'',b'11',b'0',b'',b'194',b'',"b'1,294'","b'22,794'",b'North America'
b'Vatican City',b'11',b'',b'',b'',b'2',b'9',b'',"b'13,733'",b'',b'',b'',b'Europe'
b'Seychelles',b'11',b'',b'',b'',b'6',b'5',b'',b'112',b'',b'',b'',b'Africa'
b'Suriname',b'10',b'',b'1',b'',b'9',b'0',b'',b'17',b'2',b'404',b'689',b'South America'
b'MS Zaandam',b'9',b'',b'2',b'',b'',b'7',b'',b'',b'',b'',b'',b''
b'Mauritania',b'8',b'',b'1',b'',b'6',b'1',b'',b'2',b'0.2',"b'1,032'",b'222',b'Africa'
b'Papua New Guinea',b'8',b'',b'',b'',b'8',b'0',b'',b'0.9',b'',"b'2,402'",b'268',b'Australia/Oceania'
b'Bhutan',b'7',b'',b'',b'',b'5',b'2',b'',b'9',b'',"b'11,015'","b'14,275'",b'Asia'
b'British Virgin Islands',b'6',b'',b'1',b'',b'3',b'2',b'',b'198',b'33',b'',b'',b'North America'
b'Caribbean Netherlands',b'6',b'',b'',b'',b'',b'6',b'',b'229',b'',b'110',"b'4,195'",b'North America'
b'St. Barth',b'6',b'',b'',b'',b'6',b'0',b'',b'607',b'',b'',b'',b'North America'
b'Western Sahara',b'6',b'',b'',b'',b'5',b'1',b'',b'10',b'',b'',b'',b'Africa'
b'Anguilla',b'3',b'',b'',b'',b'3',b'0',b'',b'200',b'',b'',b'',b'North America'
b'Comoros',b'3',b'',b'',b'',b'',b'3',b'',b'3',b'',b'',b'',b'Africa'
b'Saint Pierre Miquelon',b'1',b'',b'',b'',b'',b'1',b'',b'173',b'',b'',b'',b'North America'
b'China',"b'82,881'",b'+1',"b'4,633'",b'',"b'77,853'",b'395',b'29',b'58',b'3',b'',b'',b'Asia'
b'Total:',"b'1,480,488'","b'+10,577'","b'142,273'",b'+130',"b'559,725'","b'778,490'","b'16,957'",b'',b'',b'',b'',b'Europe'
b'Total:',"b'574,305'","b'+1,466'","b'20,097'",b'+19',"b'305,482'","b'248,726'","b'5,290'",b'',b'',b'',b'',b'Asia'
b'Total:',"b'224,738'",b'+464',"b'11,298'",b'+30',"b'78,397'","b'135,043'","b'9,938'",b'',b'',b'',b'',b'South America'
b'Total:',"b'48,081'",b'+6',"b'1,848'",b'',"b'16,231'","b'30,002'",b'129',b'',b'',b'',b'',b'Africa'
b'Total:',"b'8,435'",b'+21',b'116',b'+1',"b'7,280'","b'1,039'",b'30',b'',b'',b'',b'',b'Australia/Oceania'
b'Total:',b'721',b'',b'15',b'',b'645',b'61',b'4',b'',b'',b'',b'',b''
