"b'Country,Other'",b'TotalCases',b'NewCases',b'TotalDeaths',b'NewDeaths',b'TotalRecovered',b'ActiveCases',"b'Serious,Critical'",b'Tot\xc2\xa0Cases/1M pop',b'Deaths/1M pop',b'TotalTests',b'Tests/\n1M pop\n',b'Continent'
b'Slovenia',"b'1,439'",b'',b'97',b'',b'241',"b'1,101'",b'20',b'692',b'47',"b'57,504'","b'27,660'",b'Europe'
b'Ivory Coast',"b'1,432'",b'',b'17',b'',b'693',b'722',b'',b'54',b'0.6',"b'10,778'",b'409',b'Africa'
b'Lithuania',"b'1,423'",b'+4',b'46',b'',b'678',b'699',b'17',b'523',b'17',"b'149,106'","b'54,772'",b'Europe'
b'Slovakia',"b'1,421'",b'+8',b'25',b'',b'741',b'655',b'7',b'260',b'5',"b'99,864'","b'18,291'",b'Europe'
b'Senegal',"b'1,271'",b'',b'10',b'',b'415',b'846',b'6',b'76',b'0.6',"b'17,787'","b'1,062'",b'Africa'
b'Honduras',"b'1,178'",b'+123',b'83',b'+1',b'122',b'973',b'10',b'119',b'8',"b'5,243'",b'529',b'North America'
b'Djibouti',"b'1,116'",b'',b'2',b'',b'713',b'401',b'',"b'1,130'",b'2',"b'14,222'","b'14,395'",b'Africa'
b'Hong Kong',"b'1,041'",b'',b'4',b'',b'900',b'137',b'1',b'139',b'0.5',"b'154,989'","b'20,674'",b'Asia'
b'Tunisia',"b'1,018'",b'',b'43',b'',b'406',b'569',b'18',b'86',b'4',"b'24,853'","b'2,103'",b'Africa'
b'Latvia',b'896',b'',b'17',b'+1',b'348',b'531',b'4',b'475',b'9',"b'66,150'","b'35,071'",b'Europe'
b'Cyprus',b'874',b'',b'15',b'',b'296',b'563',b'15',b'724',b'12',"b'65,725'","b'54,437'",b'Asia'
b'Kyrgyzstan',b'843',b'+13',b'11',b'+1',b'600',b'232',b'13',b'129',b'2',"b'56,488'","b'8,658'",b'Asia'
b'Albania',b'803',b'',b'31',b'',b'543',b'229',b'7',b'279',b'11',"b'9,006'","b'3,129'",b'Europe'
b'Somalia',b'756',b'',b'35',b'',b'61',b'660',b'2',b'48',b'2',b'',b'',b'Africa'
b'Niger',b'755',b'',b'37',b'',b'534',b'184',b'',b'31',b'2',"b'5,309'",b'219',b'Africa'
b'Sri Lanka',b'755',b'+4',b'8',b'',b'194',b'553',b'1',b'35',b'0.4',"b'26,842'","b'1,254'",b'Asia'
b'Andorra',b'750',b'',b'45',b'',b'499',b'206',b'16',"b'9,707'",b'582',"b'1,673'","b'21,653'",b'Europe'
b'Costa Rica',b'742',b'',b'6',b'',b'399',b'337',b'5',b'146',b'1',"b'13,988'","b'2,746'",b'North America'
b'Lebanon',b'740',b'',b'25',b'',b'200',b'515',b'43',b'108',b'4',"b'41,014'","b'6,009'",b'Asia'
b'Guatemala',b'730',b'+27',b'19',b'+2',b'79',b'632',b'5',b'41',b'1',"b'7,200'",b'402',b'North America'
b'Diamond Princess',b'712',b'',b'13',b'',b'645',b'54',b'4',b'',b'',b'',b'',b''
b'Mayotte',b'686',b'',b'6',b'',b'352',b'328',b'6',"b'2,515'",b'22',"b'3,400'","b'12,463'",b'Africa'
b'DRC',b'682',b'',b'34',b'',b'80',b'568',b'',b'8',b'0.4',b'',b'',b'Africa'
b'Sudan',b'678',b'',b'41',b'',b'61',b'576',b'',b'15',b'0.9',b'',b'',b'Africa'
b'Burkina Faso',b'672',b'',b'46',b'',b'545',b'81',b'',b'32',b'2',b'',b'',b'Africa'
b'Uruguay',b'657',b'',b'17',b'',b'447',b'193',b'10',b'189',b'5',"b'22,805'","b'6,565'",b'South America'
b'Georgia',b'604',b'+11',b'9',b'',b'240',b'355',b'6',b'151',b'2',"b'15,904'","b'3,987'",b'Asia'
b'El Salvador',b'587',b'+32',b'13',b'',b'201',b'373',b'3',b'90',b'2',"b'30,387'","b'4,685'",b'North America'
b'San Marino',b'582',b'',b'41',b'',b'86',b'455',b'5',"b'17,152'","b'1,208'","b'2,457'","b'72,412'",b'Europe'
b'Mali',b'580',b'',b'29',b'',b'223',b'328',b'',b'29',b'1',"b'2,172'",b'107',b'Africa'
b'Maldives',b'551',b'+10',b'1',b'',b'17',b'533',b'2',"b'1,019'",b'2',"b'8,327'","b'15,405'",b'Asia'
b'Channel Islands',b'544',b'',b'41',b'',b'406',b'97',b'',"b'3,129'",b'236',"b'5,342'","b'30,725'",b'Europe'
b'Kenya',b'490',b'',b'24',b'',b'173',b'293',b'2',b'9',b'0.4',"b'24,784'",b'461',b'Africa'
b'Tanzania',b'480',b'',b'16',b'',b'167',b'297',b'7',b'8',b'0.3',b'',b'',b'Africa'
b'Malta',b'480',b'',b'4',b'',b'399',b'77',b'1',"b'1,087'",b'9',"b'36,204'","b'81,994'",b'Europe'
